"musicbrainz_id","track_title","channel","webpage_url"
"00b1397d-7f3e-4c59-bb42-ccd7fa17ee10",Ariana Grande - raindrops (an angel cried) (Audio),Ariana Grande,https://www.youtube.com/watch?v=-ZoJSLB2N18
"00c9dcab-4abf-47f5-9755-c5c805b779c7",Through The Wire,Kanye West,https://www.youtube.com/watch?v=AE8y25CcE6s
"012e3459-b54d-49e9-b48d-d0922d295c5a",I'll Cry Instead (Remastered 2009),The Beatles,https://www.youtube.com/watch?v=zfnkMBOSIUQ
"013a7fe3-0113-4604-a295-f74a0b88bf05",Billy Joel - She's Always a Woman (Official Audio),Billy Joel,https://www.youtube.com/watch?v=Cx3QmqV2pHg
"01564f1c-99b2-466a-a60d-4e22a5008525",KACEY MUSGRAVES - angel (official lyric video),K A C E Y M U S G R A V E S,https://www.youtube.com/watch?v=1jS-3q7qIfw
"0172efb9-b353-4e55-82cd-80136d98069f",Radiohead - Karma Police,Radiohead,https://www.youtube.com/watch?v=1uYWYWPc9HU
"01ae94a3-6f45-4ba8-9fba-3d2d44e7cfe4",Peter Cat Recording Co. - Where the Money Flows,Peter Cat Recording Co.,https://www.youtube.com/watch?v=Yh5NDSKwJvw
"01b3f322-c5c4-46d3-8558-d6a69a376d4f",Hold Up,Demi Lovato,https://www.youtube.com/watch?v=hakoZyX4QIc
"02159dd4-018a-4264-acca-19d2edc233d2","Beyoncé, Shaboozey - SWEET ★ HONEY ★ BUCKIIN' (Official Lyric Video)",Beyoncé,https://www.youtube.com/watch?v=9DIBZX_v0-U
"025a4d55-4ba8-4943-9269-6c05bf035328",Kendrick Lamar - King Kunta,Kendrick Lamar,https://www.youtube.com/watch?v=hRK7PVJFbS8
"02c531af-a082-44c3-9115-a1a9cc5dff17",Ariana Grande - Be Alright (Official Audio),Ariana Grande,https://www.youtube.com/watch?v=eBAHqRnSgRw
"033b9896-629a-4722-87f6-6e4ca5d74b89",Miley Cyrus - WTF Do I Know (Audio),Miley Cyrus,https://www.youtube.com/watch?v=yqwYgpnCRGA
"0340c9e5-3edf-4970-91c2-b0eda6dbac0e",Chris Stapleton - Second One To Know (Official Audio),Chris Stapleton,https://www.youtube.com/watch?v=ISDXB9RGL_E
"03510dcb-0a80-4aac-ac11-baf75dddfd17",Travis Scott - MELTDOWN (Official Audio) ft. Drake,Travis Scott,https://www.youtube.com/watch?v=LuKm4L9ryB0
"03632781-7a52-450b-b56b-b147ea06411a",Frank Ocean - Facebook Story,Blonded,https://www.youtube.com/watch?v=yWVoqpXfiPA
"036892d0-355c-4436-bb06-47e9f235e4b2",SZA - Far (Audio),SZA,https://www.youtube.com/watch?v=HQPrprfg_FA
"0373d146-0f84-453d-9704-4873d001b024",Maroon 5 - This Love,Maroon 5,https://www.youtube.com/watch?v=XPpTgCho5ZA
"038ffd68-09f6-4476-a7a9-fb393ea61564",Touch The Sky,Kanye West,https://www.youtube.com/watch?v=B95OUKk7alM
"039326dc-e853-4de8-84c5-dd91c31d4256",Frank Ocean - Self Control,Blonded,https://www.youtube.com/watch?v=BME88lS6aVY
"03962935-7001-42c2-82a9-014422844f6b",Goodnight Gotham,Rihanna,https://www.youtube.com/watch?v=9hju70fYvH8
"03b007d9-0b39-4ddc-9e12-397cc08778a7",Justin Bieber - Confirmation (Audio),Justin Bieber,https://www.youtube.com/watch?v=q1uwl3ohoKM
"042c0b8c-479b-4d21-a05e-5d7c32d46149",AC/DC - Shot Down In Flames (Official Video),AC/DC,https://www.youtube.com/watch?v=UKwVvSleM6w
"04484bf3-6617-4a99-ae67-f15a440fcd6c",U Not Like Me,"50 Cent",https://www.youtube.com/watch?v=YEwiw6Wgtlg
"045ccc99-34d4-4c23-90a9-1c16101e86bb",I Should Have Known Better (Remastered 2009),The Beatles,https://www.youtube.com/watch?v=5en2JMLA8Z0
"04d36ad3-0f1d-4aca-af5e-16e5fa8dbdcd",Travis Scott - STOP TRYING TO BE GOD,Travis Scott,https://www.youtube.com/watch?v=YqvCptqhHfs
"04e0270b-16c8-44ba-a7fe-dc27ec6a86c4",Let Down (Remastered),Radiohead,https://www.youtube.com/watch?v=ZVgHPSyEIqk
"04e92e7e-2308-4d08-998b-7dcb6bc37612",Harry Styles - Ever Since New York (Audio),Harry Styles,https://www.youtube.com/watch?v=5bRDGQAUag8
"04f7ed5b-bfbc-4b75-860e-792a0aa84fe7","50 Cent - Wanksta (Official Music Video)","50 Cent",https://www.youtube.com/watch?v=ShOQQOy5pf8
"0501d394-60d9-4d55-8415-ce420dad9b54",The National Anthem,Radiohead,https://www.youtube.com/watch?v=NfQD1QiQ9o4
"05e5ca93-eb60-491b-9669-8bac0307d52d",Sabrina Carpenter - Espresso (Official Video),Sabrina Carpenter,https://www.youtube.com/watch?v=eVli-tstM5E
"05ee9ba8-fd70-4c4b-b4c8-1cb80a83a9a2",Kacey Musgraves - Golden Hour (Official Audio),K A C E Y M U S G R A V E S,https://www.youtube.com/watch?v=maONL_HfI20
"060134b9-d7aa-432f-9d0a-2e30eccc02de",Shawn Mendes - Three Empty Words (Official Audio),Shawn Mendes,https://www.youtube.com/watch?v=XtOr7R1V5ac
"062b0936-8d09-435f-8b40-d365b71548da",Dr. Dre - F**k You (Feat. Snoop Dogg & Devin The Dude),Bailey Music Unedited,https://www.youtube.com/watch?v=MEGr-XSjEKU
"0635e578-53be-4a18-9ee0-6a9505e8a5e2",Like My Style,"50 Cent",https://www.youtube.com/watch?v=o3Gm41HKdQA
